year,geography,total_households,"$9,999_or_less","$10,000_to_$14,999","$15,000_to_$24,999","$25,000_to_$34,999","$35,000_to_$49,999","$50,000_to_$74,999","$75,000_to_$99,999","$100,000_to_$150,000","$150,000_to_$199,999","$200,000_or_more",median_household_income,mean_household_income,mean_earnings,mean_soc_sec,mean_ret_income,mean_supp_sec_income,mean_cash_pub_income,food_stamp_benefits,population,pop_w_health_insurance,pop_w_private_health,pop_w_public_coverage,pop_no_health_insurance
2011,"Chenango County, New York",20003,1513,1359,2445,2308,3437,3952,2567,1673,469,280,44662,56738,58106,16262,16191,8933,3211,2538,NaN,NaN,NaN,NaN,NaN
2011,"Clinton County, New York",31527,2328,1982,3798,3577,4284,6425,3975,3820,764,574,49260,60512,60942,15970,21021,9397,3691,4467,NaN,NaN,NaN,NaN,NaN
2011,"Columbia County, New York",25681,1233,1158,2828,2652,3633,4612,3543,3745,1149,1128,56185,78210,76763,16847,22624,8257,3575,1685,NaN,NaN,NaN,NaN,NaN
2011,"Cortland County, New York",17915,1497,1157,2026,1951,3170,3284,2351,1570,698,211,45956,57878,58577,15364,18923,9455,3476,2338,NaN,NaN,NaN,NaN,NaN
2011,"Delaware County, New York",20177,1407,1590,2570,2419,3205,4109,2512,1868,269,228,43554,54195,52867,16245,20226,8197,3124,1695,NaN,NaN,NaN,NaN,NaN
2011,"Dutchess County, New York",107151,5383,3739,8096,8292,11776,19466,15874,19739,8335,6451,71125,87441,87705,18052,25339,9499,4216,6906,NaN,NaN,NaN,NaN,NaN
2011,"Erie County, New York",379478,33513,22676,44062,41113,51993,68720,46733,44870,14100,11698,48805,64959,68128,16657,20458,9156,3477,49363,NaN,NaN,NaN,NaN,NaN
2011,"Essex County, New York",16067,801,1114,2010,1838,2817,3392,1753,1619,421,302,46629,60171,56808,16657,20248,10246,3699,1380,NaN,NaN,NaN,NaN,NaN
2011,"Franklin County, New York",18940,1597,1322,2425,2426,2879,3317,2555,1912,269,238,43673,55311,57416,15451,20633,8901,4894,2481,NaN,NaN,NaN,NaN,NaN
2011,"Fulton County, New York",22939,2017,1465,2948,2709,3541,4539,2728,2276,385,331,45289,56578,56715,15836,18042,8575,3202,3517,NaN,NaN,NaN,NaN,NaN
2011,"Genesee County, New York",23965,1554,1339,2488,2844,3563,5153,3499,2386,788,351,50861,61933,61681,16883,19681,9176,3440,2297,NaN,NaN,NaN,NaN,NaN
2011,"Greene County, New York",18922,1332,1016,2533,2212,2896,3611,2499,1986,486,351,47033,59327,61817,17008,22380,9222,4781,1649,NaN,NaN,NaN,NaN,NaN
2011,"Hamilton County, New York",2303,126,123,247,267,362,490,276,258,96,58,51142,63732,65255,17008,21398,7961,3467,74,NaN,NaN,NaN,NaN,NaN
2011,"Herkimer County, New York",26470,1904,2013,3595,3401,4064,5175,3323,2031,588,376,42680,53916,56031,15096,15916,7985,3179,3939,NaN,NaN,NaN,NaN,NaN
2011,"Jefferson County, New York",44722,3273,2698,5462,5239,7867,9158,5362,4033,1033,597,45559,56361,56300,15603,19884,8618,4112,5982,NaN,NaN,NaN,NaN,NaN
2011,"Kings County, New York",907785,110452,62309,104935,94957,119677,148916,93854,98701,38281,35703,44593,64845,71868,14246,19327,8619,4009,182460,NaN,NaN,NaN,NaN,NaN
2011,"Lewis County, New York",10602,702,481,1420,1495,1839,2269,1215,843,233,105,44281,53980,55931,16286,17316,8320,2503,1225,NaN,NaN,NaN,NaN,NaN
2011,"Livingston County, New York",24201,1557,1088,2494,2430,3595,5194,3791,3006,723,323,53231,62449,62950,17210,20566,10070,2653,2252,NaN,NaN,NaN,NaN,NaN
2011,"Madison County, New York",26930,1497,1295,2745,2889,4163,5798,3681,3337,841,684,53473,65444,65865,16757,20081,8962,5643,2079,NaN,NaN,NaN,NaN,NaN
2011,"Monroe County, New York",293104,24280,13925,31378,32145,38968,54550,38300,37489,12303,9766,52260,68500,70340,17280,21337,9219,4024,34498,NaN,NaN,NaN,NaN,NaN
2011,"Montgomery County, New York",20059,1564,1262,2698,2469,3146,3859,2306,2078,415,262,43254,55910,56819,15182,17264,8084,4142,3002,NaN,NaN,NaN,NaN,NaN
2011,"Nassau County, New York",443315,13443,10960,25063,23688,37342,61709,57995,92929,54578,65608,95823,124742,124523,19314,31626,9991,5665,16470,NaN,NaN,NaN,NaN,NaN
2011,"New York County, New York",733393,73248,39686,62141,53629,66385,98650,71626,93464,52483,122081,67204,127411,134745,15657,28525,7826,3865,88306,NaN,NaN,NaN,NaN,NaN
2011,"Niagara County, New York",88589,6735,5538,11397,10401,12956,16885,10365,10020,2710,1582,46599,59779,62199,16701,19342,8801,4092,11144,NaN,NaN,NaN,NaN,NaN
2011,"Oneida County, New York",91568,6818,5343,11439,10235,13328,18022,11211,10446,2848,1878,48382,61538,63379,15815,20866,8595,3338,12421,NaN,NaN,NaN,NaN,NaN
2011,"Onondaga County, New York",183381,13977,10161,19261,19449,24751,34037,22447,25423,7768,6107,52636,68807,71545,17199,21285,8580,3441,20090,NaN,NaN,NaN,NaN,NaN
2011,"Ontario County, New York",43474,1829,2006,4650,4439,5977,9342,5889,6238,1632,1472,57069,72150,71067,17504,21219,9972,4680,3236,NaN,NaN,NaN,NaN,NaN
2011,"Orange County, New York",124939,5758,5389,9287,10035,13267,22415,17110,24466,10407,6805,70294,86272,86637,17501,25903,8879,4389,9827,NaN,NaN,NaN,NaN,NaN
2011,"Orleans County, New York",15896,868,1156,1871,1822,2531,3253,2327,1634,280,154,47788,56732,55275,17063,19740,9035,3548,2330,NaN,NaN,NaN,NaN,NaN
2011,"Oswego County, New York",45600,3698,2592,5208,5375,7259,9402,5402,4906,1188,570,47036,58097,59041,16096,18866,7941,3580,5700,NaN,NaN,NaN,NaN,NaN
2011,"Otsego County, New York",24713,1991,1605,3106,2929,3871,4936,2855,2365,563,492,45334,57862,55195,16336,23116,8970,2862,2082,NaN,NaN,NaN,NaN,NaN
2011,"Putnam County, New York",34998,920,660,1779,2360,3029,4935,5149,8046,3961,4159,92711,111990,110810,19510,27774,10626,4821,953,NaN,NaN,NaN,NaN,NaN
2011,"Queens County, New York",773130,53687,36793,75943,75871,101691,144588,102288,110873,41240,30156,56406,72324,75008,15465,21414,8385,3983,91377,NaN,NaN,NaN,NaN,NaN
2011,"Rensselaer County, New York",63626,4003,2935,6131,6534,8239,12369,8800,9630,3213,1772,56271,70088,70514,16388,23512,8697,3313,6301,NaN,NaN,NaN,NaN,NaN
2011,"Richmond County, New York",163747,10118,6270,12988,11592,16374,26942,24119,29813,14840,10691,72752,88221,91728,17514,29239,8951,4017,15556,NaN,NaN,NaN,NaN,NaN
2011,"Rockland County, New York",98106,3516,3148,7461,6357,8948,14478,12817,18919,10757,11705,84661,107873,107818,19223,33064,10828,5604,6999,NaN,NaN,NaN,NaN,NaN
2011,"St. Lawrence County, New York",41825,3559,3141,5481,4828,6498,8338,4859,3684,979,458,43390,54104,54535,15696,19105,9088,3671,5412,NaN,NaN,NaN,NaN,NaN
2011,"Saratoga County, New York",87762,3561,3347,6862,7131,10417,17411,13585,15998,5242,4208,67186,82308,83183,17946,25507,9354,2794,4513,NaN,NaN,NaN,NaN,NaN
2011,"Schenectady County, New York",58203,3263,3270,6449,5798,7361,11599,7947,8050,2709,1757,55587,69316,71003,17147,23349,9083,4437,4960,NaN,NaN,NaN,NaN,NaN
2011,"Schoharie County, New York",12801,745,953,1322,1313,1941,2591,1765,1519,427,225,50795,62290,62648,16063,19657,9734,2298,1386,NaN,NaN,NaN,NaN,NaN
2011,"Schuyler County, New York",7610,344,426,908,1064,1294,1821,778,808,75,92,47804,55831,54877,15994,16644,9550,1859,651,NaN,NaN,NaN,NaN,NaN
2011,"Seneca County, New York",13257,725,813,1531,1717,2243,2697,1779,1262,340,150,47266,57137,56062,15212,18826,8510,2992,1092,NaN,NaN,NaN,NaN,NaN
2011,"Steuben County, New York",41101,2955,2623,5526,4982,6674,7931,4460,4056,1154,740,44967,57757,59118,16124,18822,8421,3624,4525,NaN,NaN,NaN,NaN,NaN
2011,"Suffolk County, New York",496677,15335,11991,28662,29451,44922,80900,72633,110632,53242,48909,87187,107305,107210,18832,30395,10278,5545,20639,NaN,NaN,NaN,NaN,NaN
2011,"Sullivan County, New York",29432,2347,1680,3589,3035,4496,5837,3694,2929,996,829,48303,61937,62327,16591,22881,8950,3974,3140,NaN,NaN,NaN,NaN,NaN
2011,"Tioga County, New York",20458,1181,1055,2073,2116,3023,4799,2698,2427,713,373,53789,64292,61898,16879,21203,8856,2713,2047,NaN,NaN,NaN,NaN,NaN
2011,"Tompkins County, New York",38531,3979,2266,3921,3743,5426,6870,4139,4916,1835,1436,49789,67553,66625,17412,25197,9043,3532,3454,NaN,NaN,NaN,NaN,NaN
2011,"Ulster County, New York",70034,3765,3017,7123,6693,9034,13477,9834,10550,3523,3018,58808,75569,74551,16485,23750,8666,3862,6447,NaN,NaN,NaN,NaN,NaN
2011,"Warren County, New York",28392,1410,1661,2913,3442,3889,5695,4000,3466,1060,856,53877,67353,67293,16808,22163,9286,3667,2616,NaN,NaN,NaN,NaN,NaN
2011,"Washington County, New York",24682,1258,1507,2919,2787,3838,5375,3636,2398,584,380,50117,59259,58023,16425,18925,7543,2487,2771,NaN,NaN,NaN,NaN,NaN
2011,"Wayne County, New York",36563,1781,1877,3812,3894,5335,7943,5648,4596,1219,458,54380,63361,62840,17321,20939,9314,2945,3630,NaN,NaN,NaN,NaN,NaN
2011,"Westchester County, New York",345908,16042,12199,25157,24861,33927,50805,40032,55176,30857,56852,80725,130005,132762,18811,30470,8896,4355,22016,NaN,NaN,NaN,NaN,NaN
2011,"Wyoming County, New York",15549,796,907,1841,1593,2403,3467,2362,1799,243,138,51312,58742,57786,17019,20311,8742,3310,1241,NaN,NaN,NaN,NaN,NaN
2011,"Yates County, New York",9552,664,584,1218,994,1487,1969,1285,841,234,276,48125,62739,58921,16395,23788,7962,3598,1207,NaN,NaN,NaN,NaN,NaN
